mesh1, mesh2, method, is_rotx, is_roty, is_rotz, is_simple, is_v, value
apple2_lowres,banana3_lowres,direct,false,false,false,false,false,2.04712
apple2_lowres,banana3_lowres,direct,false,false,false,false,true,1.33553
apple2_lowres,banana3_lowres,none,false,false,false,false,false,2.04712
apple2_lowres,banana3_lowres,none,false,false,false,false,true,1.33553
apple2_lowres,banana3_lowres,poisson,false,false,false,false,false,3.58082
apple2_lowres,banana3_lowres,poisson,false,false,false,false,true,1.40472
apple2_lowres,female_lowres,direct,false,false,false,false,false,1.70511
apple2_lowres,female_lowres,direct,false,false,false,false,true,1.3479
apple2_lowres,female_lowres,none,false,false,false,false,false,1.70511
apple2_lowres,female_lowres,none,false,false,false,false,true,1.3479
apple2_lowres,fish2_lowres,direct,false,false,false,false,false,2.40636
apple2_lowres,fish2_lowres,direct,false,false,false,false,true,1.23477
apple2_lowres,fish2_lowres,none,false,false,false,false,false,2.40636
apple2_lowres,fish2_lowres,none,false,false,false,false,true,1.23477
apple2_lowres,fixed_deer3_lowres,direct,false,false,false,false,false,2.12066
apple2_lowres,fixed_deer3_lowres,direct,false,false,false,false,true,1.35112
apple2_lowres,fixed_deer3_lowres,none,false,false,false,false,false,2.12066
apple2_lowres,fixed_deer3_lowres,none,false,false,false,false,true,1.35112
apple2_lowres,horse2_lowres,direct,false,false,false,false,false,2.14053
apple2_lowres,horse2_lowres,direct,false,false,false,false,true,1.48809
apple2_lowres,horse2_lowres,none,false,false,false,false,false,2.14053
apple2_lowres,horse2_lowres,none,false,false,false,false,true,1.48809
apple2_lowres,male_lowres,none,false,false,false,false,false,1.86272
apple2_lowres,male_lowres,none,false,false,false,false,true,1.40126
apple2_lowres,orange2_lowres,direct,false,false,false,false,false,1.71695
apple2_lowres,orange2_lowres,direct,false,false,false,false,true,1.12363
apple2_lowres,orange2_lowres,none,false,false,false,false,false,1.71695
apple2_lowres,orange2_lowres,none,false,false,false,false,true,1.12363
apple2_lowres,orange2_lowres,poisson,false,false,false,false,false,1.86211
apple2_lowres,orange2_lowres,poisson,false,false,false,false,true,1.77561
apple2_lowres,pear2_lowres,direct,false,false,false,false,false,1.77011
apple2_lowres,pear2_lowres,direct,false,false,false,false,true,1.05905
apple2_lowres,pear2_lowres,none,false,false,false,false,false,1.77011
apple2_lowres,pear2_lowres,none,false,false,false,false,true,1.05905
apple2_lowres,pear2_lowres,poisson,false,false,false,false,false,3.87352
apple2_lowres,pear2_lowres,poisson,false,false,false,false,true,1.14882
apple2_lowres,shark2_lowres,direct,false,false,false,false,false,2.06339
apple2_lowres,shark2_lowres,direct,false,false,false,false,true,1.26297
apple2_lowres,shark2_lowres,none,false,false,false,false,false,2.06339
apple2_lowres,shark2_lowres,none,false,false,false,false,true,1.26297
apple2_lowres,stone_long_lowres,direct,false,false,false,false,false,1.60397
apple2_lowres,stone_long_lowres,direct,false,false,false,false,true,1.09333
apple2_lowres,stone_long_lowres,none,false,false,false,false,false,1.60397
apple2_lowres,stone_long_lowres,none,false,false,false,false,true,1.09333
apple2_lowres,stone_round_lowres,direct,false,false,false,false,false,1.62933
apple2_lowres,stone_round_lowres,direct,false,false,false,false,true,1.12474
apple2_lowres,stone_round_lowres,none,false,false,false,false,false,1.62933
apple2_lowres,stone_round_lowres,none,false,false,false,false,true,1.12474
apple2_lowres,banana3_lowres,direct,true,false,false,false,false,1.99293
apple2_lowres,banana3_lowres,direct,true,false,false,false,true,1.36593
apple2_lowres,banana3_lowres,none,true,false,false,false,false,1.99293
apple2_lowres,banana3_lowres,none,true,false,false,false,true,1.36593
apple2_lowres,female_lowres,direct,true,false,false,false,false,1.85731
apple2_lowres,female_lowres,direct,true,false,false,false,true,1.34144
apple2_lowres,female_lowres,none,true,false,false,false,false,1.85731
apple2_lowres,female_lowres,none,true,false,false,false,true,1.34144
apple2_lowres,fish2_lowres,direct,true,false,false,false,false,2.16471
apple2_lowres,fish2_lowres,direct,true,false,false,false,true,1.23417
apple2_lowres,fish2_lowres,none,true,false,false,false,false,2.16471
apple2_lowres,fish2_lowres,none,true,false,false,false,true,1.23417
apple2_lowres,fish2_lowres,poisson,true,false,false,false,false,2.90232
apple2_lowres,fish2_lowres,poisson,true,false,false,false,true,1.32757
apple2_lowres,fixed_deer3_lowres,poisson,true,false,false,false,false,2.44603
apple2_lowres,fixed_deer3_lowres,poisson,true,false,false,false,true,1.44564
apple2_lowres,male_lowres,direct,true,false,false,false,false,1.84862
apple2_lowres,male_lowres,direct,true,false,false,false,true,1.41178
